System,Dataset,Average MAPE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
lrzip,silesia.tar.csv,0.9805,0.9809,1.363,1.5652,1.4208,1.6761,1.3696,2.5205,1.3366
lrzip,uiq-32.bin.csv,0.987,0.9774,2.295,2.5718,2.3499,2.7683,2.3092,4.1625,2.2177
lrzip,uiq2-16.bin.csv,0.9695,0.9672,2.0202,2.3488,2.1046,2.4954,2.0265,3.8702,1.9688
lrzip,uiq2-4.bin.csv,0.6276,0.9354,1.2939,1.5029,1.35,1.612,1.2866,2.3339,1.2906
lrzip,uiq2-8.bin.csv,1.0905,0.9464,1.5875,1.8468,1.6759,1.9584,1.5728,2.9713,1.5727
lrzip,vmlinux-5.10.tar.csv,0.4997,0.9204,0.8028,0.9315,0.8441,0.981,0.7976,1.3955,0.8117
x264,blue_sky_1080p25_short.y4m.csv,0.2309,0.3158,0.2124,0.3075,0.1153,0.1237,0.1196,0.1533,0.778
x264,Johnny_1280x720_60_short.y4m.csv,0.2617,0.3561,0.2358,0.3444,0.1197,0.1284,0.1248,0.1695,0.8814
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.2417,1.1948,0.2102,0.3052,0.1141,0.1214,0.1171,0.15,0.7773
x264,pedestrian_area_1080p25_short.y4m.csv,0.2514,0.294,0.1997,0.2848,0.1153,0.1236,0.1193,0.1512,0.7112
x264,riverbed_1080p25_short.y4m.csv,0.1961,0.6767,0.192,0.2679,0.1181,0.1264,0.1227,0.1052,0.6559
x264,sd_bridge_close_cif_short.y4m.csv,0.2311,0.6242,0.1419,0.2059,0.086,0.0911,0.0849,0.1582,0.5165
x264,sd_city_4cif_short.y4m.csv,0.2623,0.3895,0.2217,0.323,0.117,0.1253,0.1211,0.1288,0.8257
x264,sd_crew_cif_short.y4m.csv,0.232,0.5412,0.1718,0.2471,0.101,0.1079,0.1023,0.1176,0.6205
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.2027,0.4119,0.1483,0.209,0.0922,0.0974,0.0945,0.0361,0.5132
xz,ambivert.wav.tar.csv,0.2619,1.7978,0.2712,0.4477,0.0247,0.0249,0.0257,0.3024,1.3371
xz,artificl.tar.csv,0.3101,4.8717,0.2892,0.2903,0.2881,0.3015,0.2915,0.0318,0.2907
xz,deepfield.tar.csv,0.1573,0.6333,0.1281,0.2079,0.0251,0.0262,0.024,0.1755,0.6143
xz,enwik8.tar.csv,0.567,1.5309,0.4265,0.6861,0.0715,0.0751,0.0884,0.0269,1.9818
