System,Dataset,Average MAE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
lrzip,silesia.tar.csv,33.4267,33.4511,32.2945,35.3643,33.0085,36.4492,32.66,50.6952,32.0605
lrzip,uiq-32.bin.csv,46.33,46.1908,54.5048,58.6024,54.9824,60.5127,55.2214,83.5812,53.5451
lrzip,uiq2-16.bin.csv,26.0179,26.0144,29.6484,32.6712,30.2765,33.6299,29.9105,47.6754,29.3332
lrzip,uiq2-4.bin.csv,5.8755,7.9702,6.9765,7.9048,7.1972,8.1434,7.0006,11.349,7.0371
lrzip,uiq2-8.bin.csv,14.8089,14.3039,14.609,16.2447,15.0422,16.6584,14.6298,23.3784,14.6165
lrzip,vmlinux-5.10.tar.csv,3.9966,6.7533,4.4693,5.1173,4.6601,5.238,4.4643,7.3272,4.5691
x264,blue_sky_1080p25_short.y4m.csv,1.6952,1.9694,1.4299,1.7261,1.1416,1.2014,1.1227,1.2303,3.1537
x264,Johnny_1280x720_60_short.y4m.csv,1.3997,1.5912,1.1705,1.4139,0.9218,0.9656,0.908,1.0067,2.5791
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,4.6338,13.1925,3.9466,4.7754,3.1832,3.3184,3.0878,1.4279,8.7428
x264,pedestrian_area_1080p25_short.y4m.csv,2.015,2.2734,1.6392,1.9724,1.342,1.4128,1.2979,2.7736,3.5801
x264,riverbed_1080p25_short.y4m.csv,3.4989,7.7783,3.1149,3.7114,2.5721,2.7134,2.4921,0.0525,6.6908
x264,sd_bridge_close_cif_short.y4m.csv,0.0911,0.1675,0.0617,0.0759,0.0507,0.0526,0.0483,0.5711,0.1416
x264,sd_city_4cif_short.y4m.csv,0.8041,0.9694,0.664,0.8052,0.5279,0.5548,0.5141,0.0952,1.4864
x264,sd_crew_cif_short.y4m.csv,0.1465,0.232,0.1102,0.1336,0.0895,0.0937,0.0862,0.1497,0.2464
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.2296,0.3268,0.1698,0.2048,0.1406,0.1458,0.1367,0.7086,0.3712
xz,ambivert.wav.tar.csv,2.9303,21.4631,2.7538,4.4038,0.5533,0.5853,0.5577,0.0068,13.0558
