System,Dataset,Average RMSE Comparison per dataset file per model,,,,,,,,
,,ANN_tuned,ANN,Voting_Regressor_Tuned,Voting_Regressor,Random_Forest_Tuned,Random_Forest,XGBoost_Regressor_Tuned,XGBoost_Regressor,Linear_Regression (Baseline)
lrzip,silesia.tar.csv,55.1087,55.144,45.7887,50.326,46.3607,50.8241,47.0486,67.799,46.0661
lrzip,uiq-32.bin.csv,86.4172,86.3862,76.2641,82.4654,76.5241,83.352,78.9738,111.9326,75.9299
lrzip,uiq2-16.bin.csv,47.6309,47.6461,41.9332,46.5801,42.607,47.1284,42.8912,64.6851,42.1544
lrzip,uiq2-4.bin.csv,11.2044,12.7977,10.4588,11.6182,10.6318,11.7302,10.6158,15.6165,10.603
lrzip,uiq2-8.bin.csv,25.0671,24.761,21.0205,23.2974,21.4095,23.5731,21.2829,31.5641,21.3113
lrzip,vmlinux-5.10.tar.csv,7.0306,9.296,6.6072,7.3149,6.7472,7.3957,6.6404,9.9594,6.7454
x264,blue_sky_1080p25_short.y4m.csv,2.9396,3.04,2.6632,2.7731,2.572,2.7165,2.5829,2.6508,4.0882
x264,Johnny_1280x720_60_short.y4m.csv,2.4781,2.5039,2.2117,2.2926,2.1399,2.2561,2.1424,2.2069,3.3768
x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,8.2911,14.2533,7.3277,7.6333,7.0978,7.4688,7.1049,3.0756,11.3265
x264,pedestrian_area_1080p25_short.y4m.csv,3.4824,3.4819,3.0667,3.1915,2.9914,3.155,2.9716,5.9215,4.6371
x264,riverbed_1080p25_short.y4m.csv,6.455,8.9617,5.8926,6.1187,5.7551,6.0693,5.6936,0.111,8.8515
x264,sd_bridge_close_cif_short.y4m.csv,0.1383,0.2209,0.1114,0.1176,0.1086,0.1144,0.1082,1.2421,0.1818
x264,sd_city_4cif_short.y4m.csv,1.3811,1.4549,1.2408,1.2929,1.2067,1.2717,1.2017,0.2055,1.9117
x264,sd_crew_cif_short.y4m.csv,0.241,0.3122,0.2053,0.2145,0.2003,0.2105,0.1978,0.3242,0.3189
x264,sintel_trailer_2k_720p24_short.y4m.csv,0.3677,0.4468,0.3192,0.3302,0.3102,0.3289,0.3119,1.6696,0.4688
xz,ambivert.wav.tar.csv,4.0652,23.8556,3.6893,5.7934,1.3666,1.4516,1.3686,0.0082,16.9103
xz,artificl.tar.csv,0.0082,0.1475,0.0075,0.0076,0.0075,0.0081,0.0075,0.7598,0.0076
xz,deepfield.tar.csv,3.1824,9.3677,1.7742,2.7511,0.6933,0.7219,0.6737,38.3337,7.9549
xz,enwik8.tar.csv,41.9971,154.3251,36.2447,42.9789,30.5318,33.4509,33.7452,1.9125,93.353
xz,fannie_mae_500k.tar.csv,8.8885,66.7221,7.492,12.1951,1.7675,1.7965,1.8851,0.164,35.9601
xz,large.tar.csv,0.7109,1.198,0.4877,0.7834,0.1512,0.1585,0.1493,0.0566,2.2964
xz,misc.tar.csv,0.0925,0.1891,0.0498,0.0588,0.0455,0.0505,0.0462,5.9584,0.1169
xz,silesia.tar.csv,21.926,158.7013,16.4917,26.4585,5.3327,5.5168,5.4621,35.5016,77.2593
xz,uiq-32.bin.csv,39.7615,189.7472,33.7726,41.147,28.4531,30.9089,30.0086,18.8353,91.9138
xz,uiq2-16.bin.csv,19.8514,78.4171,17.0787,20.2276,14.7222,16.3972,16.0694,0.5603,42.6165
xz,uiq2-4.bin.csv,2.5661,5.2133,1.3308,2.0768,0.4849,0.4981,0.5252,7.3574,5.9466
xz,uiq2-8.bin.csv,8.1623,25.7036,7.1383,8.2645,6.1839,6.5529,6.5736,0.2604,16.5599
xz,vmlinux-5.10.tar.csv,0.8421,1.4513,0.5161,0.8005,0.2419,0.2499,0.2383,0.6756,2.2644
z3,AUFNIRA_z3.637557.smt2.csv,36.1937,202.1644,19.9827,33.2955,0.5031,0.5666,0.533,0.0173,99.89
z3,LRA_formula_277.smt2.csv,0.2082,1.0909,0.0664,0.1086,0.0148,0.016,0.0148,1.1745,0.3228
z3,QF_AUFBV_891_sqlite3.smt2.csv,6.6173,29.4014,2.8647,4.6208,1.1132,1.1149,1.0038,0.0642,13.2039
z3,QF_AUFLIA_swap_t1_pp_nf_ai_00010_002.cvc.smt2.csv,0.7127,5.2289,0.2367,0.3894,0.0478,0.0537,0.051,4.2009,1.1611
z3,QF_BV_bench_3176.smt2.csv,100.4171,279.4074,30.4621,50.6725,3.323,3.4537,3.7198,2.7498,151.7125
z3,QF_BV_bench_935.smt2.csv,27.3919,186.5872,19.514,32.3584,2.2212,2.3347,2.4083,0.0181,96.8623
z3,QF_LIA_tightrhombus.csv,0.3361,1.8618,0.1597,0.2655,0.0151,0.0171,0.0157,0.0184,0.7951
z3,QF_LRA_clocksynchro_7clocks.worst_case_skew.induct.smt2.csv,0.6538,10.3884,0.1773,0.2939,0.0226,0.0252,0.0237,0.0619,0.8789
z3,QF_NRA_hong_9.smt2.csv,0.2248,1.4997,0.0154,0.0158,0.0156,0.0169,0.0156,0.4302,0.0155
z3,QF_RDL_orb08_888.smt2.csv,0.444,6.4687,0.082,0.1203,0.0483,0.0531,0.0505,0.754,0.3342
z3,QF_UFLIA_xs_23_43.smt2.csv,3.754,30.8006,1.986,3.2796,0.303,0.3567,0.3265,0.4122,9.7607
z3,QF_UF_PEQ018_size6.smt2.csv,79.9082,324.6397,40.6546,67.7373,0.5967,0.6456,0.6236,0.7252,203.1861
